index&2011&2012&2013&2014&2015&2016&2017\\
q_mean& 0.571&  1.01&  1.21&  1.17& 0.711& 0.829& 0.567\\
q_std& 0.245& 0.843& 0.681& 0.669& 0.332& 0.682& 0.230\\
q_max&  9.61&  25.2&  15.0&  7.27&  5.85&  17.9&  9.21\\
q_sum&  18.0&  31.9&  38.1&  36.8&  22.4&  26.2&  17.7\\
qs_mean& 0.618&  1.10&  1.40&  1.35& 0.755& 0.916& 0.908\\
qs_std& 0.332& 0.833&  1.02& 0.720& 0.519& 0.701& 0.479\\
qs_max&  4.20&  8.94&  11.4&  7.68&  4.50&  6.43&  4.61\\
qs_sum&  19.5&  34.9&  44.1&  42.6&  23.8&  29.0&  28.3\\
pmx_max&   118&   180&   100&  84.6&   109&   231&   173\\
pmx_sum&  2159&  2877&  2777&  2847&  2198&  3222&  3076\\
p_max&  29.2&  69.7&  45.8&  33.5&  38.6&  61.6&  69.3\\
p_sum&   871&  1289&  1284&  1225&   912&  1188&  1153\\
t_mean&  6.88&  6.72&  6.43&  7.47&  7.56&  6.98&  6.94\\
t_std&  7.97&  8.72&  8.21&  6.72&  7.90&  7.59&  8.27\\
